iter	Recall	Logloss
0	0.1668871252	0.6826527103
1	0.214175485	0.6741733372
2	0.2266313933	0.6674855057
3	0.2281746032	0.6616406999
4	0.2300485009	0.6574188951
5	0.2298280423	0.6536056283
6	0.2292768959	0.6509026757
7	0.2290564374	0.6474594635
8	0.2340167549	0.6446437475
9	0.2386463845	0.6432610009
10	0.246031746	0.64183347
11	0.2469135802	0.6406380987
12	0.2330246914	0.639129205
13	0.2430555556	0.6380970721
14	0.2497795414	0.6370194022
15	0.2573853616	0.636314421
16	0.2556216931	0.6353870971
17	0.2525352734	0.6348641448
18	0.2482363316	0.6344570345
19	0.2464726631	0.633898039
20	0.2537477954	0.6331433762
21	0.2549603175	0.6328423531
22	0.2554012346	0.6325862939
23	0.2592592593	0.6310942323
24	0.2601410935	0.6303987799
25	0.2622354497	0.6300061806
26	0.2608024691	0.629601908
27	0.2637786596	0.6293064905
28	0.2651014109	0.6290525866
29	0.2638888889	0.6288080287
30	0.2625661376	0.628656899
31	0.2617945326	0.6284852775
32	0.2613536155	0.6283882228
33	0.2605820106	0.6283424126
34	0.2628968254	0.6280960943
35	0.267526455	0.6277602927
36	0.2670855379	0.6276258167
37	0.26829806	0.62739319
38	0.2678571429	0.6273580442
39	0.2697310406	0.6272397171
40	0.269510582	0.6271361987
41	0.2707231041	0.6263814971
42	0.2736992945	0.6259433071
43	0.2730379189	0.6257971576
44	0.2741402116	0.6255629186
45	0.2768959436	0.6253493785
46	0.2765652557	0.6253045739
47	0.2760141093	0.6252751231
48	0.2768959436	0.6252310491
49	0.279872134	0.6245118615
50	0.2800925926	0.6244316004
51	0.279872134	0.6242867941
52	0.2797619048	0.6241185319
53	0.279872134	0.6239084225
54	0.2803130511	0.6236173763
55	0.2804232804	0.6233778532
56	0.2814153439	0.6220567149
57	0.2821869489	0.6217095666
58	0.2829585538	0.6216912188
59	0.2833994709	0.6214934951
60	0.2833994709	0.6214703418
61	0.2832892416	0.6214124817
62	0.2841710758	0.6211478068
63	0.2848324515	0.6210619121
64	0.2845017637	0.6209835969
65	0.2848324515	0.6208603518
66	0.2851631393	0.6207554287
67	0.2852733686	0.6205770508
68	0.2860449735	0.6203918278
69	0.2872574956	0.6202588359
70	0.2869268078	0.620229807
71	0.287808642	0.6197845928
72	0.2884700176	0.6196973068
73	0.2885802469	0.6195915396
74	0.2888007055	0.6195467884
75	0.2886904762	0.6195024891
76	0.2907848325	0.6191676572
77	0.2915564374	0.6189587571
78	0.2922178131	0.6189363046
79	0.2921075838	0.618885591
80	0.2939814815	0.6187873703
81	0.2953042328	0.6186656608
82	0.2953042328	0.6185474688
83	0.2947530864	0.618409343
84	0.2957451499	0.6183173404
85	0.2955246914	0.6181917169
86	0.2965167549	0.6179906757
87	0.2957451499	0.6179433815
88	0.296957672	0.617660045
89	0.2991622575	0.6173612649
90	0.2985008818	0.6171731685
91	0.2991622575	0.6170309761
92	0.2991622575	0.6168786517
93	0.299382716	0.6168356002
94	0.2994929453	0.6168119951
95	0.2991622575	0.6166847644
96	0.2992724868	0.6165886244
97	0.2992724868	0.6165291615
98	0.299382716	0.616400059
99	0.3000440917	0.6161887874
100	0.3002645503	0.616118724
101	0.3005952381	0.6160246434
102	0.301366843	0.6159392109
103	0.3023589065	0.6158185984
104	0.302138448	0.615472524
105	0.3023589065	0.6154525152
106	0.3024691358	0.6153851704
107	0.3029100529	0.6151711162
108	0.3029100529	0.6151698568
109	0.3029100529	0.6151295347
110	0.30335097	0.6150483329
111	0.3039021164	0.6148629808
112	0.3055555556	0.6143861549
113	0.3063271605	0.6140464473
114	0.3067680776	0.6139808264
115	0.3068783069	0.6132620392
116	0.307319224	0.6127687633
117	0.3076499118	0.6126086638
118	0.308531746	0.6123086359
119	0.3097442681	0.6120944868
120	0.3107363316	0.6118704055
121	0.3117283951	0.6117134668
122	0.3127204586	0.6114346365
123	0.3132716049	0.6111653412
124	0.3143738977	0.6109660638
125	0.3148148148	0.6105386727
126	0.3154761905	0.6103279704
127	0.316468254	0.6099654165
128	0.3166887125	0.6098937582
129	0.3163580247	0.6097847181
130	0.3167989418	0.609421144
131	0.3173500882	0.6091847253
132	0.3181216931	0.6088984405
133	0.3193342152	0.6086306648
134	0.3213183422	0.6084359028
135	0.3219797178	0.6080503151
136	0.3230820106	0.6077398064
137	0.3235229277	0.6075270057
138	0.3240740741	0.6072779951
139	0.3244047619	0.6069466794
140	0.3241843034	0.6068816882
141	0.3245149912	0.6066188335
142	0.3246252205	0.6063262715
143	0.3260582011	0.6061004012
144	0.3263888889	0.6060101151
145	0.3262786596	0.6058036401
