iter	Passed	Remaining
0	164	32815
1	360	35665
2	592	38937
3	830	40690
4	1113	43408
5	1267	40968
6	1480	40816
7	1696	40712
8	1878	39857
9	1954	37138
10	2103	36143
11	2464	38605
12	2760	39703
13	2973	39505
14	3111	38376
15	3264	37546
16	3508	37768
17	3708	37500
18	3835	36542
19	4003	36031
20	4194	35751
21	4304	34827
22	4451	34253
23	4591	33669
24	4766	33363
25	4922	32943
26	5072	32499
27	5213	32023
28	5398	31830
29	5581	31626
30	5726	31217
31	5900	30977
32	6051	30625
33	6120	29882
34	6212	29287
35	6368	29012
36	6516	28709
37	6700	28563
38	6764	27926
39	6996	27987
40	7121	27619
41	7284	27404
42	7439	27163
43	7578	26868
44	7742	26667
45	7911	26486
46	8064	26251
47	8113	25693
48	8166	25167
49	8348	25046
50	8503	24843
51	8732	24853
52	8944	24809
53	9103	24613
54	9304	24529
55	9515	24467
56	9707	24354
57	9873	24173
58	9916	23699
59	10089	23541
60	10183	23204
61	10349	23036
62	10502	22839
63	10651	22634
64	10792	22414
65	10947	22227
66	11098	22031
67	11324	21982
68	11528	21887
69	11706	21740
70	11908	21636
71	12476	22180
72	12711	22114
73	12870	21915
74	12985	21642
75	13165	21480
76	13343	21315
77	13519	21146
78	13667	20934
79	13824	20736
80	13952	20498
81	14121	20320
82	14277	20126
83	14414	19905
84	14471	19579
85	14623	19385
86	14771	19185
87	14972	19055
88	15162	18910
89	15316	18720
90	15452	18509
91	15596	18308
92	15707	18072
93	15854	17878
94	15947	17626
95	16088	17428
96	16200	17202
97	16386	17055
98	16518	16852
99	16709	16709
100	16936	16600
101	17184	16510
102	17387	16374
103	17575	16223
104	17753	16062
105	17917	15889
106	18076	15711
107	18229	15528
108	18297	15276
109	18451	15096
110	18600	14914
111	18755	14736
112	18904	14554
113	19015	14344
114	19131	14140
115	19313	13985
116	19494	13829
117	19711	13697
118	19880	13532
119	20050	13366
120	20315	13263
121	20469	13086
122	20627	12913
123	20815	12758
124	20968	12581
125	21144	12418
126	21314	12251
127	21465	12074
128	21620	11899
129	21813	11745
130	22041	11609
131	22215	11444
132	22395	11281
133	22601	11132
134	22806	10980
135	22984	10816
136	23168	10654
137	23352	10491
138	23531	10326
139	23680	10148
140	23825	9969
141	23982	9795
142	24136	9620
143	24308	9453
144	24459	9277
145	24617	9104
146	24801	8942
147	25001	8784
148	25181	8619
149	25346	8448
150	25508	8277
151	25676	8108
152	25813	7929
153	25989	7763
154	26149	7591
155	26290	7415
156	26462	7247
157	26651	7084
158	26862	6926
159	27043	6760
160	27250	6601
161	27418	6431
162	27584	6261
163	27743	6090
164	27901	5918
165	28053	5745
166	28200	5572
167	28346	5399
168	28500	5227
169	28658	5057
170	28806	4885
171	28954	4713
172	29094	4540
173	29242	4369
174	29410	4201
175	29550	4029
176	29703	3859
177	29830	3686
178	29976	3516
179	30111	3345
180	30289	3179
181	30486	3015
182	30601	2842
183	30760	2674
184	30922	2507
185	31096	2340
186	31271	2173
187	31439	2006
188	31576	1837
189	31711	1669
190	31861	1501
191	32028	1334
192	32252	1169
193	32434	1003
194	32637	836
195	32833	670
196	33095	503
197	33254	335
198	33519	168
199	33716	0
